"year","month","sti1","ts","time","sti2","sti3","sti4","sti5","sti6","sti7","sti8","sti9","sti10","sti11","sti12"
1500,1,-2,1500.04,"1500-1-15 00:00:00",-1.3403871220276,-0.710827402848901,-0.319274816324098,-0.126070693999683,-0.0448072519955768,-0.0145690330596351,-0.00438562487706483,-0.00123338684490036,-0.000326399167817479,-8.17524347549666e-05,-1.94731008389249e-05
1500,2,-1,1500.12,"1500-2-15 00:00:00",-2.0105806830414,-1.06624110427335,-0.478912224486147,-0.189106040999525,-0.0672108779933651,-0.0218535495894527,-0.00657843731559724,-0.00185008026735054,-0.000489598751726219,-0.00012262865213245,-2.92096512583873e-05
1500,3,-1,1500.21,"1500-3-15 00:00:00",-1.3403871220276,-2.12126001859413,-0.952783896762994,-0.37622174050427,-0.133714361348972,-0.043477090521719,-0.0130876365640717,-0.00368068843584417,-0.000974044475520582,-0.000243966637433221,-5.81118708734471e-05
1500,4,0,1500.29,"1500-4-15 00:00:00",-0.670193561013801,-1.06063000929707,-1.79663763689744,-0.709430691582282,-0.252141387999367,-0.0819835194942928,-0.0246789859788063,-0.00694057004531401,-0.00183672810873253,-0.000460040985630625,-0.000109579910739959
1500,5,-1,1500.38,"1500-5-15 00:00:00",-0.670193561013801,-1.06063000929707,-1.34747822767308,-1.9743288157076,-0.701703512219589,-0.228158193423655,-0.0686810335929056,-0.0193154420868626,-0.00511157083379463,-0.00128028316946832,-0.000304958296791526
1500,6,1,1500.46,"1500-6-15 00:00:00",0,0,-0.449159409224359,-0.789731526283038,-1.4216548056978,-0.462249634627115,-0.139148115646158,-0.0391331817338439,-0.0103560679318002,-0.00259386006886491,-0.00061784702601776
1500,7,1,1500.54,"1500-7-15 00:00:00",1.3403871220276,0.530315004648533,0.449159409224359,0,-0.355413701424451,-0.975446992000758,-0.293632705538231,-0.0825795015294923,-0.0218535495894527,-0.00547360735911925,-0.00130379123724306
1500,8,-1,1500.62,"1500-8-15 00:00:00",0,0.530315004648533,0,0,-0.355413701424451,-0.650297994667172,-1.20409497572371,-0.338632451406147,-0.0896145039911535,-0.0224455348327733,-0.00534643603572483
1500,9,0,1500.71,"1500-9-15 00:00:00",-0.670193561013801,0,0.449159409224359,0,0,-0.325148997333586,-0.602047487861857,-1.12493601662149,-0.297699121075699,-0.0745640012966007,-0.017760844928404
1500,10,0,1500.79,"1500-10-15 00:00:00",0,-0.530315004648533,0,0.394865763141519,0,0,-0.301023743930928,-0.562468008310747,-1.05854596768899,-0.265131528175399,-0.063153262642421
1500,11,-3,1500.88,"1500-11-15 00:00:00",-2.0105806830414,-1.5909450139456,-1.79663763689744,-1.18459728942456,-0.710827402848901,-0.975446992000758,-0.903071231792785,-1.12493601662149,-1.32318245961123,-1.75327359781988,-0.417622712655624
1500,12,-2,1500.96,"1500-12-15 00:00:00",-3.350967805069,-2.65157502324266,-2.2457970461218,-2.36919457884911,-1.77706850712225,-1.30059598933434,-1.50511871965464,-1.40617002077687,-1.58781895153348,-1.75327359781988,-2.14376376771674
1501,1,1,1501.04,"1501-1-15 00:00:00",-0.670193561013801,-2.12126001859413,-1.79663763689744,-1.57946305256608,-1.77706850712225,-1.30059598933434,-0.903071231792785,-1.12493601662149,-1.05854596768899,-1.25233828415705,-1.42917584514449
1501,2,1,1501.12,"1501-2-15 00:00:00",1.3403871220276,0,-1.34747822767308,-1.18459728942456,-1.06624110427335,-1.30059598933434,-0.903071231792785,-0.562468008310747,-0.79390947576674,-0.751402970494233,-0.952783896762994
1501,3,0,1501.21,"1501-3-15 00:00:00",0.670193561013801,1.06063000929707,0,-1.18459728942456,-1.06624110427335,-0.975446992000758,-1.20409497572371,-0.843702012466121,-0.529272983844494,-0.751402970494233,-0.714587922572245
1501,4,0,1501.29,"1501-4-15 00:00:00",0,0.530315004648533,0.898318818448719,0,-1.06624110427335,-0.975446992000758,-0.903071231792785,-1.12493601662149,-0.79390947576674,-0.500935313662822,-0.714587922572245
1501,5,1,1501.38,"1501-5-15 00:00:00",0.670193561013801,0.530315004648533,0.898318818448719,1.18459728942456,0.355413701424451,-0.650297994667172,-0.602047487861857,-0.562468008310747,-0.79390947576674,-0.500935313662822,-0.238195974190748
1501,6,0,1501.46,"1501-6-15 00:00:00",0.670193561013801,0.530315004648533,0.449159409224359,0.789731526283038,1.06624110427335,0.325148997333586,-0.602047487861857,-0.562468008310747,-0.529272983844494,-0.751402970494233,-0.476391948381497
1501,7,-1,1501.54,"1501-7-15 00:00:00",-0.670193561013801,0,0,0,0.355413701424451,0.650297994667172,0,-0.843702012466121,-0.79390947576674,-0.751402970494233,-0.952783896762994
1501,8,-2,1501.62,"1501-8-15 00:00:00",-2.0105806830414,-1.5909450139456,-0.898318818448719,-0.789731526283038,-0.710827402848901,-0.325148997333586,0,-0.562468008310747,-1.32318245961123,-1.25233828415705,-1.19097987095374
1501,9,0,1501.71,"1501-9-15 00:00:00",-1.3403871220276,-1.5909450139456,-1.34747822767308,-0.789731526283038,-0.710827402848901,-0.650297994667172,-0.301023743930928,0,-0.529272983844494,-1.25233828415705,-1.19097987095374
1501,10,-1,1501.79,"1501-10-15 00:00:00",-0.670193561013801,-1.5909450139456,-1.79663763689744,-1.57946305256608,-1.06624110427335,-0.975446992000758,-0.903071231792785,-0.562468008310747,-0.264636491922247,-0.751402970494233,-1.42917584514449
