"year","month","tis99","tia30","tia10","til30","til10","ts","time"
1507,4,1,1,1,1,1,1507.29,"1507-4-15 00:00:00"
1507,5,0,0,0,0,0,1507.38,"1507-5-15 00:00:00"
1507,6,-1,-1,-1,-1,-1,1507.46,"1507-6-15 00:00:00"
1507,7,-1,-1,-1,-1,-1,1507.54,"1507-7-15 00:00:00"
1507,8,0,0,0,0,0,1507.62,"1507-8-15 00:00:00"
1507,9,0,0,0,0,0,1507.71,"1507-9-15 00:00:00"
1507,10,0,0,0,0,0,1507.79,"1507-10-15 00:00:00"
1507,11,0,0,0,0,0,1507.88,"1507-11-15 00:00:00"
1507,12,-1,-1,-1,-1,-1,1507.96,"1507-12-15 00:00:00"
1508,1,-1,-1,-1,-1,-1,1508.04,"1508-1-15 00:00:00"
1508,2,-1,-1,-1,-1,-1,1508.12,"1508-2-15 00:00:00"
1508,3,-2,-2,-2,-2,-2,1508.21,"1508-3-15 00:00:00"
1508,4,-2,-2,-2,-2,-2,1508.29,"1508-4-15 00:00:00"
1508,5,0,0,0,0,0,1508.38,"1508-5-15 00:00:00"
1508,6,0,0,0,0,0,1508.46,"1508-6-15 00:00:00"
1508,7,-1,-1,-1,-1,-1,1508.54,"1508-7-15 00:00:00"
1508,8,-1,-1,-1,-1,-1,1508.62,"1508-8-15 00:00:00"
1508,9,1,1,1,1,1,1508.71,"1508-9-15 00:00:00"
1508,10,0,0,0,0,0,1508.79,"1508-10-15 00:00:00"
1508,11,0,0,0,0,0,1508.88,"1508-11-15 00:00:00"
1508,12,-1,-1,-1,-1,-1,1508.96,"1508-12-15 00:00:00"
1509,1,-1,-1,-1,-1,-1,1509.04,"1509-1-15 00:00:00"
1509,2,-1,-1,-1,-1,-1,1509.12,"1509-2-15 00:00:00"
1509,3,0,0,0,0,0,1509.21,"1509-3-15 00:00:00"
1509,4,0,0,0,0,0,1509.29,"1509-4-15 00:00:00"
1509,5,0,0,0,0,0,1509.38,"1509-5-15 00:00:00"
1509,6,0,0,0,0,0,1509.46,"1509-6-15 00:00:00"
1509,7,1,1,1,1,1,1509.54,"1509-7-15 00:00:00"
1509,8,2,2,2,2,2,1509.62,"1509-8-15 00:00:00"
1509,9,1,1,1,1,1,1509.71,"1509-9-15 00:00:00"
1509,10,-1,-1,-1,-1,-1,1509.79,"1509-10-15 00:00:00"
1509,11,0,0,0,0,0,1509.88,"1509-11-15 00:00:00"
1509,12,0,0,0,0,0,1509.96,"1509-12-15 00:00:00"
1510,1,0,0,0,0,0,1510.04,"1510-1-15 00:00:00"
1510,2,1,1,1,1,1,1510.12,"1510-2-15 00:00:00"
1510,3,-2,-2,-2,-2,-2,1510.21,"1510-3-15 00:00:00"
1510,4,0,0,0,0,0,1510.29,"1510-4-15 00:00:00"
1510,5,-1,-1,-1,-1,-1,1510.38,"1510-5-15 00:00:00"
1510,6,0,0,0,0,0,1510.46,"1510-6-15 00:00:00"
1510,7,-1,-1,-1,-1,-1,1510.54,"1510-7-15 00:00:00"
1510,8,0,0,0,0,0,1510.62,"1510-8-15 00:00:00"
1510,9,0,0,0,0,0,1510.71,"1510-9-15 00:00:00"
1510,10,0,0,0,0,0,1510.79,"1510-10-15 00:00:00"
1510,11,-1,-1,-1,-1,-1,1510.88,"1510-11-15 00:00:00"
1510,12,-1,-1,-1,-1,-1,1510.96,"1510-12-15 00:00:00"
1511,1,-1,-1,-1,-1,-1,1511.04,"1511-1-15 00:00:00"
1511,2,-2,-2,-2,-2,-2,1511.12,"1511-2-15 00:00:00"
1511,3,-1,-1,-1,-1,-1,1511.21,"1511-3-15 00:00:00"
1511,4,0,0,0,0,0,1511.29,"1511-4-15 00:00:00"
1511,5,0,0,0,0,0,1511.38,"1511-5-15 00:00:00"
1511,6,0,0,0,0,0,1511.46,"1511-6-15 00:00:00"
1511,7,-1,-1,-1,-1,-1,1511.54,"1511-7-15 00:00:00"
1511,8,-1,-1,-1,-1,-1,1511.62,"1511-8-15 00:00:00"
1511,9,0,0,0,0,0,1511.71,"1511-9-15 00:00:00"
1511,10,0,0,0,0,0,1511.79,"1511-10-15 00:00:00"
1511,11,0,0,0,0,0,1511.88,"1511-11-15 00:00:00"
1511,12,-2,-2,-2,-2,-2,1511.96,"1511-12-15 00:00:00"
1512,1,-1,-1,-1,-1,-1,1512.04,"1512-1-15 00:00:00"
1512,2,-2,-2,-2,-2,-2,1512.12,"1512-2-15 00:00:00"
1512,3,-1,-1,-1,-1,-1,1512.21,"1512-3-15 00:00:00"
1512,4,0,0,0,0,0,1512.29,"1512-4-15 00:00:00"
1512,5,1,1,1,1,1,1512.38,"1512-5-15 00:00:00"
1512,6,0,0,0,0,0,1512.46,"1512-6-15 00:00:00"
1512,7,1,1,1,1,1,1512.54,"1512-7-15 00:00:00"
1512,8,1,1,1,1,1,1512.62,"1512-8-15 00:00:00"
1512,9,-1,-1,-1,-1,-1,1512.71,"1512-9-15 00:00:00"
1512,10,0,0,0,0,0,1512.79,"1512-10-15 00:00:00"
1512,11,1,1,1,1,1,1512.88,"1512-11-15 00:00:00"
1512,12,-1,-1,-1,-1,-1,1512.96,"1512-12-15 00:00:00"
1513,1,-2,-2,-2,-2,-2,1513.04,"1513-1-15 00:00:00"
1513,2,-2,-2,-2,-2,-2,1513.12,"1513-2-15 00:00:00"
1513,3,-1,-1,-1,-1,-1,1513.21,"1513-3-15 00:00:00"
1513,4,-1,-1,-1,-1,-1,1513.29,"1513-4-15 00:00:00"
1513,5,0,0,0,0,0,1513.38,"1513-5-15 00:00:00"
1513,6,-1,-1,-1,-1,-1,1513.46,"1513-6-15 00:00:00"
1513,7,0,0,0,0,0,1513.54,"1513-7-15 00:00:00"
1513,8,-1,-1,-1,-1,-1,1513.62,"1513-8-15 00:00:00"
1513,9,-1,-1,-1,-1,-1,1513.71,"1513-9-15 00:00:00"
1513,10,-3,-3,-3,-3,-3,1513.79,"1513-10-15 00:00:00"
1513,11,-1,-1,-1,-1,-1,1513.88,"1513-11-15 00:00:00"
1513,12,-2,-2,-2,-2,-2,1513.96,"1513-12-15 00:00:00"
1514,1,-2,-2,-2,-2,-2,1514.04,"1514-1-15 00:00:00"
1514,2,-1,-1,-1,-1,-1,1514.12,"1514-2-15 00:00:00"
1514,3,-1,-1,-1,-1,-1,1514.21,"1514-3-15 00:00:00"
1514,4,-2,-2,-2,-2,-2,1514.29,"1514-4-15 00:00:00"
1514,5,0,0,0,0,0,1514.38,"1514-5-15 00:00:00"
1514,6,-2,-2,-2,-2,-2,1514.46,"1514-6-15 00:00:00"
1514,7,0,0,0,0,0,1514.54,"1514-7-15 00:00:00"
1514,8,1,1,1,1,1,1514.62,"1514-8-15 00:00:00"
1514,9,0,0,0,0,0,1514.71,"1514-9-15 00:00:00"
1514,10,-1,-1,-1,-1,-1,1514.79,"1514-10-15 00:00:00"
1514,11,-1,-1,-1,-1,-1,1514.88,"1514-11-15 00:00:00"
1514,12,0,0,0,0,0,1514.96,"1514-12-15 00:00:00"
1515,1,1,1,1,1,1,1515.04,"1515-1-15 00:00:00"
1515,2,2,2,2,2,2,1515.12,"1515-2-15 00:00:00"
1515,3,-2,-2,-2,-2,-2,1515.21,"1515-3-15 00:00:00"
1515,4,-1,-1,-1,-1,-1,1515.29,"1515-4-15 00:00:00"
1515,5,-1,-1,-1,-1,-1,1515.38,"1515-5-15 00:00:00"
1515,6,0,0,0,0,0,1515.46,"1515-6-15 00:00:00"
1515,7,-1,-1,-1,-1,-1,1515.54,"1515-7-15 00:00:00"
1515,8,-1,-1,-1,-1,-1,1515.62,"1515-8-15 00:00:00"
1515,9,1,1,1,1,1,1515.71,"1515-9-15 00:00:00"
1515,10,-1,-1,-1,-1,-1,1515.79,"1515-10-15 00:00:00"
1515,11,0,0,0,0,0,1515.88,"1515-11-15 00:00:00"
1515,12,1,1,1,1,1,1515.96,"1515-12-15 00:00:00"
1516,1,1,1,1,1,1,1516.04,"1516-1-15 00:00:00"
1516,2,0,0,0,0,0,1516.12,"1516-2-15 00:00:00"
1516,3,-1,-1,-1,-1,-1,1516.21,"1516-3-15 00:00:00"
1516,4,1,1,1,1,1,1516.29,"1516-4-15 00:00:00"
1516,5,0,0,0,0,0,1516.38,"1516-5-15 00:00:00"
1516,6,1,1,1,1,1,1516.46,"1516-6-15 00:00:00"
1516,7,0,0,0,0,0,1516.54,"1516-7-15 00:00:00"
1516,8,1,1,1,1,1,1516.62,"1516-8-15 00:00:00"
1516,9,1,1,1,1,1,1516.71,"1516-9-15 00:00:00"
